Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2015,Technology Colleges,26180,Native Hawaiian or Other Pacific Islander,54
Fall 2014,Community Colleges,233812,Native Hawaiian or Other Pacific Islander,380
Fall 2014,Comprehensive Colleges,89442,Native Hawaiian or Other Pacific Islander,122
Fall 2014,Doctoral Degree Granting Institutions,105408,Native Hawaiian or Other Pacific Islander,73
Fall 2014,Technology Colleges,26177,Native Hawaiian or Other Pacific Islander,56
Fall 2013,Community Colleges,239791,Native Hawaiian or Other Pacific Islander,376
Fall 2013,Comprehensive Colleges,89701,Native Hawaiian or Other Pacific Islander,107
Fall 2013,Doctoral Degree Granting Institutions,104285,Native Hawaiian or Other Pacific Islander,97
Fall 2013,Technology Colleges,25773,Native Hawaiian or Other Pacific Islander,54
Fall 2012,Community Colleges,243007,Native Hawaiian or Other Pacific Islander,402
Fall 2012,Comprehensive Colleges,90908,Native Hawaiian or Other Pacific Islander,122
Fall 2012,Doctoral Degree Granting Institutions,102205,Native Hawaiian or Other Pacific Islander,110
Fall 2012,Technology Colleges,25696,Native Hawaiian or Other Pacific Islander,53
Fall 2011,Community Colleges,247667,Native Hawaiian or Other Pacific Islander,363
Fall 2011,Comprehensive Colleges,92783,Native Hawaiian or Other Pacific Islander,88
Fall 2011,Doctoral Degree Granting Institutions,101664,Native Hawaiian or Other Pacific Islander,100
Fall 2011,Technology Colleges,25892,Native Hawaiian or Other Pacific Islander,50
Fall 2010,Community Colleges,249343,Native Hawaiian or Other Pacific Islander,320
Fall 2010,Comprehensive Colleges,93204,Native Hawaiian or Other Pacific Islander,74
Fall 2010,Doctoral Degree Granting Institutions,100457,Native Hawaiian or Other Pacific Islander,83
Fall 2010,Technology Colleges,28180,Native Hawaiian or Other Pacific Islander,45
Fall 2009,Community Colleges,239243,Native Hawaiian or Other Pacific Islander,87
Fall 2009,Comprehensive Colleges,94024,Native Hawaiian or Other Pacific Islander,32
Fall 2009,Doctoral Degree Granting Institutions,100402,Native Hawaiian or Other Pacific Islander,7
Fall 2009,Technology Colleges,27778,Native Hawaiian or Other Pacific Islander,0
Fall 2008,Community Colleges,220995,Native Hawaiian or Other Pacific Islander,3
Fall 2008,Comprehensive Colleges,92825,Native Hawaiian or Other Pacific Islander,0
Fall 2008,Doctoral Degree Granting Institutions,99162,Native Hawaiian or Other Pacific Islander,0
Fall 2008,Technology Colleges,26541,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Community Colleges,214129,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Comprehensive Colleges,90894,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Doctoral Degree Granting Institutions,96945,Native Hawaiian or Other Pacific Islander,0
Fall 2007,Technology Colleges,25430,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Community Colleges,209059,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Comprehensive Colleges,89059,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Doctoral Degree Granting Institutions,95136,Native Hawaiian or Other Pacific Islander,0
Fall 2006,Technology Colleges,24321,Native Hawaiian or Other Pacific Islander,0
